"filename"	"source URL"	"license"
"button-click"	"http://www.freesound.org/people/KorgMS2000B/sounds/54405/"	"sampling+"
"pop"	"http://www.freesound.org/people/vitriolix/sounds/706/"	"sampling+"
"shipengine"	"http://www.freesound.org/people/PhreaKsAccount/sounds/46504/"	"sampling+"
"brass-fanfare"	"http://www.freesound.org/people/Robinhood76/sounds/62176/"	"CC-BY-NC"
"Caf-1"	"http://www.pacdv.com/sounds/ambience_sounds.html"	"public domain"
"Caf-2"	"http://www.pacdv.com/sounds/ambience_sounds.html"	"public domain"
"kickstarter"	"http://www.pacdv.com/sounds/free-music/kickstarter.mp3"	
"trumpet-fanfare"	"http://free-loops.com/7661-trumpet-fanfare.html"	
"click"	"http://gnome-look.org/content/show.php/%22Borealis%22+sound+theme?content=12584"	"CC-BY-SA"
"warning"	"http://gnome-look.org/content/show.php/Dream?content=75398"	"CC-BY-NC-ND"
"loading"	"http://gnome-look.org/content/show.php/Feather+Sound+Set?content=90916"	"Artistic 2.0"
"bookflip1"	"http://www.freesound.org/people/Koops/sounds/20241/"	"CC-BY"
"bookflip2"	"http://www.freesound.org/people/Koops/sounds/20258/"	"CC-BY"
